priority,keyword,search_volume,competition,competition_index,cpc,intent,cluster,page_type,url_action,score,notes
1,fire horse zodiac,33100,LOW,12,0.49,element,Horse / 2026,element article,/guides/fire-horse-zodiac/,118,New article candidate.
2,fire horse chinese zodiac,9900,LOW,9,0.91,element,Horse / 2026,element article,/guides/fire-horse-chinese-zodiac/,115.1,New article candidate.
3,the year of the horse,110000,LOW,5,1.25,year,Horse / 2026,supporting article or existing-page expansion,Expand existing /chinese-zodiac-years/,114.7,Already has a matching page; use for page expansion or supporting paragraph.
4,chinese birth signs,49500,LOW,25,0.06,calculator,Calculator / Birthday,tool-support article,/guides/chinese-birth-signs/,110.9,New article candidate.
5,horse zodiac,110000,LOW,5,1.25,animal,Horse / 2026,supporting article or existing-page expansion,Expand existing /chinese-zodiac/horse/,109.7,Already has a matching page; use for page expansion or supporting paragraph.
6,1990 year of the chinese zodiac,22200,LOW,0,0.01,year,Years,year guide,/guides/1990-year-of-the-chinese-zodiac/,109.4,New article candidate.
7,1989 in chinese zodiac,22200,LOW,0,,year,General,year guide,/guides/1989-in-chinese-zodiac/,109.3,New article candidate.
8,1989 year of the chinese zodiac,22200,LOW,0,,year,Years,year guide,/guides/1989-year-of-the-chinese-zodiac/,109.3,New article candidate.
9,1996 year of the chinese zodiac,22200,LOW,0,,year,Years,year guide,/guides/1996-year-of-the-chinese-zodiac/,109.3,New article candidate.
10,2003 year of the chinese zodiac,22200,LOW,0,,year,Years,year guide,/guides/2003-year-of-the-chinese-zodiac/,109.3,New article candidate.
11,chinese calendar birthday,8100,LOW,9,1.29,calculator,Calculator / Birthday,tool-support article,/guides/chinese-calendar-birthday/,109.1,New article candidate.
12,1985 year of the chinese zodiac,18100,LOW,0,,year,Years,year guide,/guides/1985-year-of-the-chinese-zodiac/,107.2,New article candidate.
13,1986 year of the chinese zodiac,18100,LOW,0,,year,Years,year guide,/guides/1986-year-of-the-chinese-zodiac/,107.2,New article candidate.
14,chinese sign for 1985,18100,LOW,0,,year,General,year guide,/guides/chinese-sign-for-1985/,107.2,New article candidate.
15,chinese sign for 1988,18100,LOW,0,,year,General,year guide,/guides/chinese-sign-for-1988/,107.2,New article candidate.
16,calculate my chinese zodiac,12100,LOW,0,0.5,general,General,guide article,/guides/calculate-my-chinese-zodiac/,107,New article candidate.
17,1994 chinese sign,22200,LOW,0,0.16,year,General,year guide,/guides/1994-chinese-sign/,105.6,New article candidate.
18,1994 chinese zodiac,22200,LOW,0,0.16,year,General,year guide,/guides/1994-chinese-zodiac/,105.6,New article candidate.
19,1994 zodiac animal,22200,LOW,0,0.16,year,General,year guide,/guides/1994-zodiac-animal/,105.6,New article candidate.
20,94 chinese zodiac,22200,LOW,0,0.16,general,General,guide article,/guides/94-chinese-zodiac/,105.6,New article candidate.
21,1979 year of the chinese zodiac,14800,LOW,0,,year,Years,year guide,/guides/1979-year-of-the-chinese-zodiac/,105.1,New article candidate.
22,2006 year of the chinese zodiac,14800,LOW,0,,year,Years,year guide,/guides/2006-year-of-the-chinese-zodiac/,105.1,New article candidate.
23,1987 chinese sign,18100,LOW,0,0.3,year,General,year guide,/guides/1987-chinese-sign/,104.6,New article candidate.
24,1987 chinese zodiac,18100,LOW,0,0.3,year,General,year guide,/guides/1987-chinese-zodiac/,104.6,New article candidate.
25,87 chinese zodiac,18100,LOW,0,0.3,general,General,guide article,/guides/87-chinese-zodiac/,104.6,New article candidate.
26,zodiac sign 1987,18100,LOW,0,0.3,year,General,year guide,/guides/zodiac-sign-1987/,104.6,New article candidate.
27,1990 chinese sign,22200,LOW,0,0.01,year,General,year guide,/guides/1990-chinese-sign/,104.4,New article candidate.
28,1990 chinese zodiac,22200,LOW,0,0.01,year,General,year guide,/guides/1990-chinese-zodiac/,104.4,New article candidate.
29,1990 zodiac,22200,LOW,0,0.01,year,General,year guide,/guides/1990-zodiac/,104.4,New article candidate.
30,1990 zodiac animal,22200,LOW,0,0.01,year,General,year guide,/guides/1990-zodiac-animal/,104.4,New article candidate.
31,1989 chinese sign,22200,LOW,0,,year,General,year guide,/guides/1989-chinese-sign/,104.3,New article candidate.
32,1989 chinese zodiac,22200,LOW,0,,year,General,year guide,/guides/1989-chinese-zodiac/,104.3,New article candidate.
33,1995 chinese sign,22200,LOW,0,,year,General,year guide,/guides/1995-chinese-sign/,104.3,New article candidate.
34,1995 chinese year,22200,LOW,0,,year,Years,year guide,/guides/1995-chinese-year/,104.3,New article candidate.
35,1995 chinese zodiac,22200,LOW,0,,year,General,year guide,/guides/1995-chinese-zodiac/,104.3,New article candidate.
36,1996 chinese year,22200,LOW,0,,year,Years,year guide,/guides/1996-chinese-year/,104.3,New article candidate.
37,1996 chinese zodiac,22200,LOW,0,,year,General,year guide,/guides/1996-chinese-zodiac/,104.3,New article candidate.
38,1997 chinese zodiac,22200,LOW,0,,year,General,year guide,/guides/1997-chinese-zodiac/,104.3,New article candidate.
39,1998 chinese sign,22200,LOW,0,,year,General,year guide,/guides/1998-chinese-sign/,104.3,New article candidate.
40,1998 chinese zodiac,22200,LOW,0,,year,General,year guide,/guides/1998-chinese-zodiac/,104.3,New article candidate.
41,1999 chinese zodiac,22200,LOW,0,,year,General,year guide,/guides/1999-chinese-zodiac/,104.3,New article candidate.
42,2002 chinese year,22200,LOW,0,,year,Years,year guide,/guides/2002-chinese-year/,104.3,New article candidate.
43,2002 chinese zodiac,22200,LOW,0,,year,General,year guide,/guides/2002-chinese-zodiac/,104.3,New article candidate.
44,2003 chinese sign,22200,LOW,0,,year,General,year guide,/guides/2003-chinese-sign/,104.3,New article candidate.
45,2003 chinese zodiac,22200,LOW,0,,year,General,year guide,/guides/2003-chinese-zodiac/,104.3,New article candidate.
46,2003 zodiac chinese,22200,LOW,0,,year,General,year guide,/guides/2003-zodiac-chinese/,104.3,New article candidate.
47,95 chinese zodiac,22200,LOW,0,,general,General,guide article,/guides/95-chinese-zodiac/,104.3,New article candidate.
48,96 chinese zodiac,22200,LOW,0,,general,General,guide article,/guides/96-chinese-zodiac/,104.3,New article candidate.
49,97 chinese zodiac,22200,LOW,0,,general,General,guide article,/guides/97-chinese-zodiac/,104.3,New article candidate.
50,chinese sign 1997,22200,LOW,0,,year,General,year guide,/guides/chinese-sign-1997/,104.3,New article candidate.
51,chinese sign 1999,22200,LOW,0,,year,General,year guide,/guides/chinese-sign-1999/,104.3,New article candidate.
52,zodiac sign 1989,22200,LOW,0,,year,General,year guide,/guides/zodiac-sign-1989/,104.3,New article candidate.
53,year of dragon years,40500,LOW,0,4.41,year,Dragon / 2024,supporting article or existing-page expansion,Expand existing /chinese-zodiac-years/,103.6,Already has a matching page; use for page expansion or supporting paragraph.
54,fire tiger zodiac,5400,LOW,7,1.35,element,Elements,element article,/guides/fire-tiger-zodiac/,103.2,New article candidate.
55,1974 is what chinese zodiac,12100,LOW,0,,year,General,year guide,/guides/1974-is-what-chinese-zodiac/,103,New article candidate.
56,1974 year of the chinese zodiac,12100,LOW,0,,year,Years,year guide,/guides/1974-year-of-the-chinese-zodiac/,103,New article candidate.
57,2010 year of the chinese zodiac,12100,LOW,0,,year,Years,year guide,/guides/2010-year-of-the-chinese-zodiac/,103,New article candidate.
58,chinese sign for 1974,12100,LOW,0,,year,General,year guide,/guides/chinese-sign-for-1974/,103,New article candidate.
59,chinese sign for 1982,12100,LOW,0,,year,General,year guide,/guides/chinese-sign-for-1982/,103,New article candidate.
60,chinese zodiac in 2010,12100,LOW,0,,year,General,year guide,/guides/chinese-zodiac-in-2010/,103,New article candidate.
61,chinese zodiac of 2010,12100,LOW,0,,year,General,year guide,/guides/chinese-zodiac-of-2010/,103,New article candidate.
62,year of the fire horse,40500,LOW,13,2.46,year,Horse / 2026,supporting article or existing-page expansion,Expand existing /chinese-zodiac-years/,102.7,Already has a matching page; use for page expansion or supporting paragraph.
63,2020 chinese zodiac,9900,LOW,0,0.85,year,General,year guide,/guides/2020-chinese-zodiac/,102.7,New article candidate.
64,1991 chinese zodiac,18100,LOW,0,0.01,year,General,year guide,/guides/1991-chinese-zodiac/,102.3,New article candidate.
65,1991 zodiac animal,18100,LOW,0,0.01,year,General,year guide,/guides/1991-zodiac-animal/,102.3,New article candidate.
66,1985 chinese zodiac,18100,LOW,0,,year,General,year guide,/guides/1985-chinese-zodiac/,102.2,New article candidate.
67,1985 zodiac,18100,LOW,0,,year,General,year guide,/guides/1985-zodiac/,102.2,New article candidate.
68,1985 zodiac animal,18100,LOW,0,,year,General,year guide,/guides/1985-zodiac-animal/,102.2,New article candidate.
69,1986 chinese animal,18100,LOW,0,,year,General,year guide,/guides/1986-chinese-animal/,102.2,New article candidate.
70,1986 chinese sign,18100,LOW,0,,year,General,year guide,/guides/1986-chinese-sign/,102.2,New article candidate.
71,1986 chinese zodiac,18100,LOW,0,,year,General,year guide,/guides/1986-chinese-zodiac/,102.2,New article candidate.
72,1988 chinese zodiac,18100,LOW,0,,year,General,year guide,/guides/1988-chinese-zodiac/,102.2,New article candidate.
73,1992 chinese sign,18100,LOW,0,,year,General,year guide,/guides/1992-chinese-sign/,102.2,New article candidate.
74,1992 chinese zodiac,18100,LOW,0,,year,General,year guide,/guides/1992-chinese-zodiac/,102.2,New article candidate.
75,1992 zodiac animal,18100,LOW,0,,year,General,year guide,/guides/1992-zodiac-animal/,102.2,New article candidate.
76,1993 chinese zodiac,18100,LOW,0,,year,General,year guide,/guides/1993-chinese-zodiac/,102.2,New article candidate.
77,2001 chinese zodiac,18100,LOW,0,,year,General,year guide,/guides/2001-chinese-zodiac/,102.2,New article candidate.
78,85 chinese zodiac,18100,LOW,0,,general,General,guide article,/guides/85-chinese-zodiac/,102.2,New article candidate.
79,86 chinese zodiac,18100,LOW,0,,general,General,guide article,/guides/86-chinese-zodiac/,102.2,New article candidate.
